comment_id,komentar,cluster
17969564636959383,"Maaf nanya agak gak paham min , ini harga untuk pemasangan pdam kan min?",502
17861299593523751,Maw rame nih kdm min,521
18099012427673731,"Min, PDAM Jalan Gresik mati. Gimana ini?",333
18079780751119659,"petugas wilayah ploso timur 3b itu tolong di SP ....udah beberapa kali cara cek airnya itu macam preman ,cara ngetuk pagar ugal2an,bawa kayu pentungan macam preman ,naik pagar tetangga depan saya ,",114
18105870148620168,udah beberapa kali ngirim komplain langsung harusnya udah dipecat itu petugas,877
17891462820349844,"knp PDAM air 3 hati kecil ngalirnya, tlg di benahi",39
18081902578980188,"@pdamsuryasembada kebraon pak, saya jadi susah beraktivitas",432
18061812683528271,Masih berlaku gak min??,695
18084842993508138,Stelah persyaratan lengkap berapa lama proses pemasangan nya,749
18109465444572512,"Karah kenapa mati lagi airnya???jam segini lho gak ada pemberitahuan!!!
Moso harus tayamum",89
18135874240456520,Saya pengajuan tgl 5 sept. Baru keluar rincian tgl 30 sept.itupun kok 1.750.000. blm saya bayar. Batas byr smp 30 oktober. Knp tdk ikut hrg promo? Pdhal agust smp 30 sept ada promo jg,767
17933216441979408,@pdamsuryasembada saya DM ya kak,607
18530769811009655,Rungkur industri airnya mati,352
18026238395754494,"Pdam airnya keruh,bos",560
18074431199147610,Kertjaya 13c kok mengecil pak airnya tidak seperti biasanya...,698
18054056525645464,Karang menjangan susah air boss🙄,630
18077846408281573,Ini kenapa tagihan pdam melonjak drastiss,964
18361333459082896,PDAM wonorejo rungkut kok mati???,356
17854164321556264,"Min pengaduan kok ga digubris ya. CS cuma iya2 aja tp gaada petugas yg dateng? Air mati udah berhari2 krn meterannya bocor, awalnya ga kenapa2, habis diganti meteran malah bermasalah",901
18107030353607416,"Info gangguan air wilayah babat jerawat bawah, pondok Benowo Indah",930
17950743605904407,"Lapor PDAM, gara2 banyu Ket Jumat jam 9 sampe Iki mau jam 1.45 bengiii lagek nyala, ak terpaksa g turu, howo panasss, badan pliket kabehhh, nyala langsung mandi,  isi semua bak air, umbah2 jam 3 subuhhh. Yahmene lagek ape turu bossss",918
18001560917667584,Katanya perbaikan sudah selesai ? Tapi kenapa air gak nyala. Apa sudah menjadi rutinitas PDAM setiap wekeend air gak nyala ‼️,319
18069617438194442,"Ini jl. Juwingan air nya mati, gak ada info, mohon infonya sampai kapan mati?",335
18076846397137002,Info Sampek tgl brp promo nya,712
18084210139801347,"Karah, air mati lagi knp min. Pas nggak punya air",342
