token,count,antonym
ada,83,
keluar,44,mati
nyala,26,mati
bisa,21,
alir,18,mati
punya,10,
mandi,9,
sampai,7,
pakai,4,
lancar,4,
tidur,3,
baik,3,
hidup,3,mati
telat,3,
informasi,2,
warga,2,
mati,2,
cuci,2,
bayar,2,
dapat,2,
bagi,2,
atur,2,
urus,2,
ganggu,2,
paham,1,
pasang,1,
datang,1,
sungai,1,
ikhlas,1,
senang,1,
masak,1,
logis,1,
akurat,1,
air,1,
parah,1,
bersih,1,
larut,1,
evaluasi,1,
kadang,1,
data,1,
rugi,1,
gampang,1,
liat,1,
rumah,1,
padan,1,
peduli,1,
bicara,1,
cek,1,
sakit,1,
molor,1,
janji,1,
bocor,1,
murah,1,mahal
bagus,1,
isi,1,
pagi,1,
kerja,1,
pdam,1,
malam,1,
kira,1,
luber,1,
orang,1,
gubris,1,
kirim,1,
aplikasi,1,
liter,1,
tanggap,1,
estimasi,1,
atas,1,
garap,1,
layak,1,
anggur,1,
klarifikasi,1,
lambat,1,
dampak,1,
laksana,1,
selancar,1,
dengar,1,
lapor,1,
barang,1,
cetak,1,
