token,antonym
ada,tiada
keluar,mati
alir,mati
nyala,mati
dapat,
janji,
sampai,
minggu,
warga,
tandon,
bagi,luput
mandi,
foto,
surat,
pekan,
informasi,
air,
mati,hidup
senang,
akurat,meleset
parah,biasa
aktivitas,
larut,
pakai,tanpa
ganti,
buang,
molor,tepat
baik,
urus,
bantu,bantu
murah,mahal
isi,kosong
pagi,
kerja,anggur
ganggu,bantu
pdam,
luber,
harga,
atas,abai
cuci,
senin,
selasa                                                                                                                                                                                                                 d,
peta,
dampak,
dengar,  `
lapor,
cetak,
lancar,buntu
