synset_id,lang,goodness,lemma
00001740-a,B,O,berdaya
00001740-a,B,O,keahlian
00001740-a,B,O,layak
00001740-a,B,O,mahir
00001740-n,B,O,hakikat
00001740-n,B,O,keberadaan
00001740-n,B,O,kewujudan
00001740-n,B,O,sesuatu
00001740-n,B,O,tablet
00001740-n,I,O,entitas
00001740-r,I,O,akapela
00001740-v,B,O,menarik
00001740-v,B,O,menghirup
00001740-v,B,Y,nafas
00001740-v,I,O,bernapas
00002137-n,B,O,abstraksi
00002137-n,B,O,pengasingan
00002312-a,B,O,belakang
00002312-a,B,O,dorsal
00002452-n,B,O,benda
00002621-r,B,O,cuma
00002621-r,B,O,hanya
00002621-r,B,O,memang
00002621-r,B,O,sedang
00002621-r,B,O,sungguh
00002684-n,B,Y,barang
00002684-n,B,Y,benda
00002684-n,B,Y,objek
00002724-v,B,O,melemaskan
00002724-v,B,O,mencekik
00002724-v,B,O,tercekik
00002724-v,B,O,tersedak
00002942-v,B,O,terengah-engah
00003093-r,B,O,hanya
00003431-v,B,O,bergerobok
00003431-v,B,O,bersenang-senang
00003431-v,B,O,bertahak
00003431-v,B,O,betahak
00003431-v,B,O,menggelegak
00003431-v,B,O,menggelembung
00003431-v,B,O,menggerobok
00003431-v,I,O,bergelegak
00003553-n,B,O,semuanya
00003553-n,B,O,unit
00003826-v,B,Y,sedu
00003826-v,B,Y,tersedu-sedu
00003829-a,B,O,melahirkan
00003846-r,B,O,menindih
00004032-v,B,Y,berkeluh
00004032-v,B,Y,hai
00004032-v,B,Y,keluhan
00004032-v,B,Y,mengeluh
00004227-v,B,O,berakhir
00004227-v,B,O,mati
00004227-v,I,O,menapaskan
00004394-r,B,O,kiranya
00004475-n,B,O,insan
00004475-n,B,O,makhluk
00004475-n,B,O,manusia
00004475-n,B,O,orang
00004475-n,I,O,organisme
00004492-v,B,O,tahan
00004605-v,B,O,menunjukkan
00004722-r,B,O,baru
00004722-r,B,O,cuma
00004722-r,B,O,melainkan
00004722-r,B,O,memang
00004722-r,B,O,saja
00004722-r,B,O,sedangkan
00004722-r,B,O,sederhana
00004722-r,B,O,semata-mata
00004722-r,B,O,tetapi
00004722-r,B,Y,cuman
00004722-r,B,Y,hanya
00004722-r,B,Y,masih
00004722-r,B,Y,sahaja
00004722-r,I,O,sekedar
00004819-v,B,O,bersin
00005041-v,B,O,menarik
00005041-v,B,O,menghayati
00005041-v,B,O,menghidu
00005041-v,B,O,menghirup
00005041-v,B,O,mengobarkan
00005041-v,B,O,menyedot
00005041-v,B,O,menyerot
00005041-v,I,O,mencerup
00005107-a,B,O,lengkap
00005205-a,B,O,sempurna
00005205-a,B,Y,mutlak
00005205-a,I,Y,absolut
00005473-a,B,O,betul-betul
00005473-a,B,O,langsung
00005526-v,B,O,beralun
00005526-v,B,O,membinjat
00005526-v,B,O,mencungap
00005526-v,B,O,mengalun
00005526-v,B,O,terengah-engah
00005526-v,B,Y,berkempul-kempul
00005526-v,B,Y,cungap
00005526-v,B,Y,cungap-cangip
00005526-v,B,Y,gempul-gempul
00005526-v,B,Y,kesuh-kesih
00005526-v,B,Y,tercungap-cungap
00005526-v,B,Y,terkapah-kapah
00005526-v,B,Y,termengah-mengah
00005526-v,I,O,berembus
00005526-v,I,O,mengah
00005526-v,I,O,mengembus
00005526-v,I,O,tercungap
00005599-a,B,O,mutlak
00005599-a,B,O,penuh
00005779-r,B,O,jauh
00005815-v,B,O,terbatuk-batuk
00005815-v,B,Y,batuk
00005930-n,B,O,kerdil
00006024-n,I,O,heterotrof
00006032-a,B,O,relatif
00006032-a,B,Y,bandingan
00006032-a,B,Y,komparatif
00006032-a,B,Y,nisbi
00006032-a,B,Y,perbandingan
00006034-r,B,O,terlampau
00006100-v,B,O,batuk
00006100-v,B,O,memakuk
00006100-v,B,O,memekuk
00006100-v,B,O,mengokol
00006105-r,B,O,biasanya
00006238-v,B,O,meludah
00006238-v,B,O,membelahak
00006238-v,B,O,terbelahak
00006269-n,B,O,hidup
00006269-n,B,O,kehidupan
00006269-n,B,O,takdir
00006336-a,B,O,penghentian
00006484-n,B,Y,sel
00006523-v,B,O,mendengus
00006697-v,B,O,mendesah
00006777-a,B,O,membujuk
00006802-v,B,O,mendengus
00006802-v,B,O,mengeluarkan
00006802-v,B,O,terengah-engah
00006802-v,I,O,berembus
00006802-v,I,O,mengembus
00007012-v,I,O,berembus
00007012-v,I,O,embus
00007012-v,I,O,mengembus
00007012-v,I,O,menyia-nyiakan
00007015-r,B,O,beberapa
00007015-r,B,O,berkeliling
00007015-r,B,O,hampir
00007015-r,B,O,keliling
00007015-r,B,O,kira-kira
00007015-r,B,O,mengelilingi
00007015-r,B,O,sekitar
00007015-r,B,Y,kira
00007015-r,I,O,sebagian
