comment,aplikasi,bantu,biaya,bocor,cis,harga,keluar,keruh,kotor,mahal,mati,mudah,pagi,pipa,tagih
mati pagi,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
alir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keran keluar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mati,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nyala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mati informasi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mati malam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hidup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mati,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
keruh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
warna coklat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jernih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
keruh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kuning keruh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bersih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keruh pagi,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
kotor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pipa bocor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
pipa bocor jalan,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
bocor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pipa rusak bocor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
pipa bocor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
pipa bocor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
keluar pipa,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
pipa bocor baik,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
bocor pipa,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
pipa bocor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
tagih mahal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
biaya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
harga,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tagih bengkak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mahal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
biaya wajar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tagih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
harga mahal,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
biaya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tagih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aplikasi cis bagus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cis bantu,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
aplikasi mudah pakai,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cis bantu,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
monitoring mudah,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aplikasi guna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cis efektif,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lapor mudah,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cis cepat respon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aplikasi cis muas,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
