post_id,comment_id,created_at,username,text,parent_comment_id,comments,timestamp
DQ51a5oEw2y,18075080645463218,2025-11-11 13:17:55 WIB,heframid,"['ulang', 'hari', 'surya', 'moga', 'sumber', 'informasi', 'percaya', 'inspiratif', 'masyarakat', 'kolaborasi', 'positif', 'pdam', 'minum', 'surya', 'sembada']",,Selamat ulang tahun ke-36 Harian Surya! 🎉 Semoga terus menjadi sumber informasi terpercaya dan inspiratif bagi masyarakat. Terima kasih juga atas kolaborasi positif bersama Perumda Air Minum Surya Sembada!,1762841875
DQ51a5oEw2y,18542961421052542,2025-11-11 20:49:17 WIB,kharistiano28,"['jalin', 'kerjasama', 'media', 'keren']",,👏👏👏 selalu menjalin kerjasama yg baik dgn media. Keren 👍,1762868957
DQ5v5UsE4As,18005382170826298,2025-11-11 11:13:37 WIB,mhmdrizkyy12._,"['semangat', 'indonesia']",,Selamatt dan semangattt indonesiaku😍🔥,1762834417
DQ5ldh8E_V7,18078071812910678,2025-11-11 09:48:57 WIB,panggilnaw,"['dm', 'tanggap']",,DM KU GA DIBALES KAK,1762829337
DQ6J9gWE8rk,17971535618800655,2025-11-11 16:04:18 WIB,baang_aziz,"['salam', 'tim', 'spi']",,salam buat  tim spi min,1762851858
DQ6J9gWE8rk,18100425706709855,2025-11-11 18:17:34 WIB,bellaaristas,"['surabaya', 'barat', 'ptc', 'mati', 'parah', 'kecil', 'mati']",,Ini kenapa lagi surabaya barat daerah ptc airnya tiba2 mati parah banget udah kecil mati pula,1762859854
DQ6J9gWE8rk,18087708604756217,2025-11-11 20:17:03 WIB,mbembis92,['aziz'],,@baang_aziz 😂😂 waalaikumussalam bang aziz🔥❤️❤️,1762867023
DQ6J9gWE8rk,17859220131479587,2025-11-12 06:47:24 WIB,bellaaristas,['nyala'],,@pdamsuryasembada udah nyala kemarin jam 9 mlm an 😑😑😑,1762904844
DQ6J9gWE8rk,18012930854802546,2025-11-12 20:19:44 WIB,mbembis92,['sehat'],,@pdamsuryasembada 😂😂😂😂 sehat selalu min...👏🔥🔥🔥,1762953584
DQ3lIqwk3zn,18084759106819810,2025-11-11 09:49:33 WIB,panggilnaw,"['dm', 'tanggap']",,Dm ku direspon dong kak,1762829373
DPiRgn6k9BI,17969564636959383,2025-10-29 23:44:51 WIB,n_aiiniiii,"['tidak_paham', 'harga', 'pasang', 'pdam']",,"Maaf nanya agak gak paham min , ini harga untuk pemasangan pdam kan min?",1761756291
DPiRgn6k9BI,17861299593523751,2025-10-30 05:38:39 WIB,raymundus_aryo,['ramai'],,Maw rame nih kdm min,1761777519
DPiRgn6k9BI,18099012427673731,2025-10-31 04:47:10 WIB,opera8176,"['pdam', 'jalan', 'gresik', 'mati']",,"Min, PDAM Jalan Gresik mati. Gimana ini?",1761860830
DPiRgn6k9BI,18079780751119659,2025-10-31 10:05:24 WIB,matokebenny,"['tugas', 'daerah', 'ploso', 'timur', 'kali', 'cek', 'preman', 'ketuk', 'pagar', 'ugal-ugalan', 'kayu', 'pentung', 'preman', 'pagar', 'tetangga']",,"petugas wilayah ploso timur 3b itu tolong di SP ....udah beberapa kali cara cek airnya itu macam preman ,cara ngetuk pagar ugal2an,bawa kayu pentungan macam preman ,naik pagar tetangga depan saya ,",1761879924
DPiRgn6k9BI,18105870148620168,2025-10-31 10:06:07 WIB,matokebenny,"['kali', 'kirim', 'komplain', 'langsung', 'pecat', 'tugas']",,udah beberapa kali ngirim komplain langsung harusnya udah dipecat itu petugas,1761879967
DPiRgn6k9BI,18066294245579689,2025-10-31 16:44:04 WIB,opera8176,[],,@pdamsuryasembada Terimakasih banyak min.,1761903844
DPiRgn6k9BI,18100221883580735,2025-11-01 04:14:31 WIB,wien_reyki,"['pbi', 'pondok', 'benowo', 'indah', 'pdam', 'mati']",,Min PBI ( pondok benowo indah ) PDAM nya gak keluar ... Gmn ini ?,1761945271
DPiRgn6k9BI,18143859607438040,2025-11-01 10:42:39 WIB,wii1i,"['pbi', 'mati', 'baru', 'nyala', 'lancar', 'sampai', 'mati']",,"PBI mati lagi. Baru nyalah lancar ga sampai 10 hari, mati lagi.",1761968559
DPiRgn6k9BI,17987069660903819,2025-11-03 07:14:48 WIB,ikacuby,"['griya', 'citra', 'asri', 'pdam', 'kecil', 'sampai']",,"Min, griya Citra asri PDAM mengecil dr kemarin pagi , sampai skrg. Kenapa ya?",1762128888
DPiRgn6k9BI,18047983175384701,2025-11-03 18:09:53 WIB,rahul.bahrom,"['coba', 'daftar', 'situs', 'internal', 'server', 'eror', 'daftar', 'situs', 'dapat', 'promo', 'diskon']",,"hallo min., saya coba daftar lewat website kok . internal server error yaa?
kalo daftar lewat website apakah juga dapet promo diskon?",1762168193
DPiRgn6k9BI,17874126045442667,2025-11-04 14:48:56 WIB,nelchia,"['lapor', 'tugas', 'lapang', 'sopir', 'nomor', 'polisi', 'foto', 'tera', 'kronologi', 'sekitar', 'rumah', 'dengar', 'suara', 'berisik', 'mobil', 'molen', 'operasi', 'jemput', 'anak', 'pagar', 'ada', 'pikup', 'milik', 'pdam', 'sampai', 'teriak', 'pindah', 'mobil', 'suara', 'berisik', 'mobil', 'pura', 'tuli', 'tidak_dengar', 'mobil', 'maju', 'motor', 'bisa', 'keluar', 'rumah', 'pulang', 'jemput', 'anak', 'mobil', 'nangkring', 'pagar', 'bilang', 'berat', 'mobil', 'nangkring', 'pagar', 'bukan', 'ejek', 'ganggu', 'bisa', 'motor', 'masuk', 'rumah', 'pagar', 'pindah', 'berat', 'mobil', 'bisa', 'parkir', 'ganggu', 'pintu', 'pilih', 'pintu', 'pagar', 'bukan', 'pasang', 'pdam']",,"Selamat sore saya mau melaporkan petugas dilapangan terutama sopir dg nopol difoto tertera, kronologisnya, sekitar jam 13.50 di depan rumah saya terdengar suara berisik seperti mobil molen beroperasi, pada saat saya mau menjemput anak ternyata pas didepan pagar saya ada pikup milik pdam, saya sampai berteriak agar dipindahkan mobil tsb krn suara berisik dr mobil tersebut, tapi semua pura2 tuli tidak mendengar. Akhirnya mobil tersebut dimajukan agar motor saya bisa keluar rumah, tp pada saat saya pulang jemput anak, mobil tersebut nangkring lagi pas didepan pagar, saya blg saya keberatan mobil tsb nangkring depan pagar, eh bukannya minta maaf mlh mengejek saya ktnya dia ga ganggu,trs bisa motor tsb masuk rumah pdhl jelas2 berada dpn pagar saya.
Mmg pada akhirnya dipindahkan setelah saya menyatakan keberatan, yg jadi pertanyaan saya, mobil tersebut bisa parkir ditempat lain yg tdk mengganggu pintu saya, kenapa memilih pintu pagar saya, kedua bukan saya yang mau pasang pdam kenapa saya",1762242536
