post_id,created_at,username,text,parent_comment_id
DQ51a5oEw2y,2025-11-11 13:17:55 WIB,heframid,"['selamat', 'ulang', 'tahun', 'ke <num>', 'harian', 'surya', 'semoga', 'terus', 'menjadi', 'sumber', 'informasi', 'terpercaya', 'dan', 'inspiratif', 'bagi', 'masyarakat', 'terima', 'kasih', 'juga', 'atas', 'kolaborasi', 'positif', 'bersama', 'perumda', 'air', 'minum', 'surya', 'sembada']",
DQ51a5oEw2y,2025-11-11 20:49:17 WIB,kharistiano28,"['selalu', 'menjalin', 'kerjasama', 'yg', 'baik', 'dgn', 'media', 'keren']",
DQ5v5UsE4As,2025-11-11 11:13:37 WIB,mhmdrizkyy12._,"['selamatt', 'dan', 'semangattt', 'indonesiaku']",
DQ5ldh8E_V7,2025-11-11 09:48:57 WIB,panggilnaw,"['dm', 'ku', 'ga', 'dibales', 'kak']",
DQ6J9gWE8rk,2025-11-11 16:04:18 WIB,baang_aziz,"['salam', 'buat', 'tim', 'spi', 'min']",
DQ6J9gWE8rk,2025-11-11 18:17:34 WIB,bellaaristas,"['ini', 'kenapa', 'lagi', 'surabaya', 'barat', 'daerah', 'ptc', 'airnya', 'tiba <num>', 'mati', 'parah', 'banget', 'udah', 'kecil', 'mati', 'pula']",
DQ6J9gWE8rk,2025-11-11 20:17:03 WIB,mbembis92,"['waalaikumussalam', 'bang', 'aziz']",
DQ6J9gWE8rk,2025-11-12 06:47:24 WIB,bellaaristas,"['udah', 'nyala', 'kemarin', 'jam', '<num>', 'mlm', 'an']",
DQ6J9gWE8rk,2025-11-12 20:19:44 WIB,mbembis92,"['sehat', 'selalu', 'min']",
DQ3lIqwk3zn,2025-11-11 09:49:33 WIB,panggilnaw,"['dm', 'ku', 'direspon', 'dong', 'kak']",
DPiRgn6k9BI,2025-10-29 23:44:51 WIB,n_aiiniiii,"['maaf', 'nanya', 'agak', 'gak', 'paham', 'min', 'ini', 'harga', 'untuk', 'pemasangan', 'pdam', 'kan', 'min', '?']",
DPiRgn6k9BI,2025-10-30 05:38:39 WIB,raymundus_aryo,"['maw', 'rame', 'nih', 'kdm', 'min']",
DPiRgn6k9BI,2025-10-31 04:47:10 WIB,opera8176,"['min', 'pdam', 'jalan', 'gresik', 'mati', 'gimana', 'ini', '?']",
DPiRgn6k9BI,2025-10-31 10:05:24 WIB,matokebenny,"['petugas', 'wilayah', 'ploso', 'timur', '<num> b', 'itu', 'tolong', 'di', 'sp', 'udah', 'beberapa', 'kali', 'cara', 'cek', 'airnya', 'itu', 'macam', 'preman', 'cara', 'ngetuk', 'pagar', 'ugal <num> anbawa', 'kayu', 'pentungan', 'macam', 'preman', 'naik', 'pagar', 'tetangga', 'depan', 'saya']",
DPiRgn6k9BI,2025-10-31 10:06:07 WIB,matokebenny,"['udah', 'beberapa', 'kali', 'ngirim', 'komplain', 'langsung', 'harusnya', 'udah', 'dipecat', 'itu', 'petugas']",
DPiRgn6k9BI,2025-10-31 16:44:04 WIB,opera8176,"['terimakasih', 'banyak', 'min']",
DPiRgn6k9BI,2025-11-01 04:14:31 WIB,wien_reyki,"['min', 'pbi', 'pondok', 'benowo', 'indah', 'pdam', 'nya', 'gak', 'keluar', 'gmn', 'ini', '?']",
DPiRgn6k9BI,2025-11-01 10:42:39 WIB,wii1i,"['pbi', 'mati', 'lagi', 'baru', 'nyalah', 'lancar', 'ga', 'sampai', '<num>', 'hari', 'mati', 'lagi']",
DPiRgn6k9BI,2025-11-03 07:14:48 WIB,ikacuby,"['min', 'griya', 'citra', 'asri', 'pdam', 'mengecil', 'dr', 'kemarin', 'pagi', 'sampai', 'skrg', 'kenapa', 'ya', '?']",
DPiRgn6k9BI,2025-11-03 18:09:53 WIB,rahul.bahrom,"['hallo', 'min', 'saya', 'coba', 'daftar', 'lewat', 'website', 'kok', 'internal', 'server', 'error', 'yaa', '?', 'kalo', 'daftar', 'lewat', 'website', 'apakah', 'juga', 'dapet', 'promo', 'diskon', '?']",
DPiRgn6k9BI,2025-11-04 14:48:56 WIB,nelchia,"['selamat', 'sore', 'saya', 'mau', 'melaporkan', 'petugas', 'dilapangan', 'terutama', 'sopir', 'dg', 'nopol', 'difoto', 'tertera', 'kronologisnya', 'sekitar', 'jam', '<num>', 'di', 'depan', 'rumah', 'saya', 'terdengar', 'suara', 'berisik', 'seperti', 'mobil', 'molen', 'beroperasi', 'pada', 'saat', 'saya', 'mau', 'menjemput', 'anak', 'ternyata', 'pas', 'didepan', 'pagar', 'saya', 'ada', 'pikup', 'milik', 'pdam', 'saya', 'sampai', 'berteriak', 'agar', 'dipindahkan', 'mobil', 'tsb', 'krn', 'suara', 'berisik', 'dr', 'mobil', 'tersebut', 'tapi', 'semua', 'pura <num>', 'tuli', 'tidak', 'mendengar', 'akhirnya', 'mobil', 'tersebut', 'dimajukan', 'agar', 'motor', 'saya', 'bisa', 'keluar', 'rumah', 'tp', 'pada', 'saat', 'saya', 'pulang', 'jemput', 'anak', 'mobil', 'tersebut', 'nangkring', 'lagi', 'pas', 'didepan', 'pagar', 'saya', 'blg', 'saya', 'keberatan', 'mobil', 'tsb', 'nangkring', 'depan', 'pagar', 'eh', 'bukannya', 'minta', 'maaf', 'mlh', 'mengejek', 'saya', 'ktnya', 'dia', 'ga', 'ganggutrs', 'bisa', 'motor', 'tsb', 'masuk', 'rumah', 'pdhl', 'jelas <num>', 'berada', 'dpn', 'pagar', 'saya', 'mmg', 'pada', 'akhirnya', 'dipindahkan', 'setelah', 'saya', 'menyatakan', 'keberatan', 'yg', 'jadi', 'pertanyaan', 'saya', 'mobil', 'tersebut', 'bisa', 'parkir', 'ditempat', 'lain', 'yg', 'tdk', 'mengganggu', 'pintu', 'saya', 'kenapa', 'memilih', 'pintu', 'pagar', 'saya', 'kedua', 'bukan', 'saya', 'yang', 'mau', 'pasang', 'pdam', 'kenapa', 'saya']",
DPiRgn6k9BI,2025-11-04 14:49:53 WIB,nelchia,"['yang', 'dirugikan', 'saya', 'tdk', 'terima', 'dengan', 'attitudenya', 'sopir', 'tersebut']",
