post_id,created_at,username,text,parent_comment_id
DQ51a5oEw2y,2025-11-11 13:17:55 WIB,heframid,"['selamat', 'ulang', 'surya', 'moga', 'sumber', 'informasi', 'percaya', 'inspiratif', 'masyarakat', 'terima', 'kasih', 'kolaborasi', 'positif', 'perumda', 'air', 'minum', 'surya', 'sembada']",
DQ51a5oEw2y,2025-11-11 20:49:17 WIB,kharistiano28,"['jalin', 'kerjasama', 'media', 'keren']",
DQ5v5UsE4As,2025-11-11 11:13:37 WIB,mhmdrizkyy12._,"['selamat', 'semangat', 'indonesia']",
DQ5ldh8E_V7,2025-11-11 09:48:57 WIB,panggilnaw,"['dm', 'ku', 'ga', 'balas', 'kak']",
DQ6J9gWE8rk,2025-11-11 16:04:18 WIB,baang_aziz,"['salam', 'tim', 'spi', 'min']",
DQ6J9gWE8rk,2025-11-11 18:17:34 WIB,bellaaristas,"['surabaya', 'barat', 'daerah', 'ptc', 'air', 'mati', 'parah', 'banget', 'mati']",
DQ6J9gWE8rk,2025-11-11 20:17:03 WIB,mbembis92,"['bang', 'aziz']",
DQ6J9gWE8rk,2025-11-12 06:47:24 WIB,bellaaristas,"['nyala', 'kemarin', 'jam', 'mlm']",
DQ6J9gWE8rk,2025-11-12 20:19:44 WIB,mbembis92,"['sehat', 'min']",
DQ3lIqwk3zn,2025-11-11 09:49:33 WIB,panggilnaw,"['dm', 'ku', 'respons', 'kak']",
DPiRgn6k9BI,2025-10-29 23:44:51 WIB,n_aiiniiii,"['maaf', 'gak', 'paham', 'min', 'harga', 'pasang', 'pdam', 'min']",
DPiRgn6k9BI,2025-10-30 05:38:39 WIB,raymundus_aryo,"['rame', 'nih', 'kdm', 'min']",
DPiRgn6k9BI,2025-10-31 04:47:10 WIB,opera8176,"['min', 'pdam', 'jalan', 'gresik', 'mati', 'gimana']",
DPiRgn6k9BI,2025-10-31 10:05:24 WIB,matokebenny,"['tugas', 'wilayah', 'ploso', 'timur', 'tolong', 'sp', 'kali', 'cek', 'air', 'preman', 'ketuk', 'pagar', 'ugal-ugalan', 'kayu', 'pentung', 'preman', 'pagar', 'tetangga']",
DPiRgn6k9BI,2025-10-31 10:06:07 WIB,matokebenny,"['kali', 'kirim', 'komplain', 'langsung', 'pecat', 'tugas']",
DPiRgn6k9BI,2025-10-31 16:44:04 WIB,opera8176,"['terima kasih', 'min']",
DPiRgn6k9BI,2025-11-01 04:14:31 WIB,wien_reyki,"['min', 'pbi', 'pondok', 'benowo', 'indah', 'pdam', 'gak']",
