post_id,created_at,username,text,parent_comment_id
DFKccJJPeW_,2025-09-01 13:18:34 WIB,endahhtopa,"['maaf', 'mau', 'nanya', 'min', 'apa', 'tarif', 'golongan', '<num>', 'bakal', 'dihapus', 'ya', 'karena', 'rumah', 'saya', 'ini', 'termasuk', 'tarif', 'golongan', '<num>', 'dan', 'itu', 'mahal', 'untuk', 'orang', 'gak', 'mampu', 'seperti', 'saya', 'tapi', 'rumah', 'rumah', 'sebelah', 'saya', 'masih', 'golongan', '<num>', 'waktu', 'saya', 'tanya', 'kepetugas', 'meteran', 'yang', 'keliling', 'katanya', 'itu', 'karena', 'tarif', 'golongan', '<num>', 'akan', 'dihapus']",
DFKccJJPeW_,2025-09-01 16:32:46 WIB,srikotiah,"['gila', 'ini', 'semenjak', 'meteran', 'diganti', 'tagihannya', '<num> <num> x', 'lipat', 'apa <num> an', 'ini']",
DFKccJJPeW_,2025-09-01 18:16:52 WIB,srikotiah,"['uda', 'dm', 'uda', 'chat', 'whatsapp', 'uda', 'telfon', 'juga', 'gaada', 'respon', 'semua']",
DFKccJJPeW_,2025-09-18 15:47:20 WIB,nurulwaki,"['mau', 'apakah', 'wilayah', 'lidah', 'kulon', 'pedukuhan', 'sepat', 'ada', 'peremajaan', 'meteran', 'dr', 'pdam', '?']",
DFKccJJPeW_,2025-09-18 15:48:48 WIB,nurulwaki,"['jika', 'ada', 'peremajaan', 'kenapa', 'setelah', 'diganti', 'meteran', 'putaranya', 'cepat', 'sekali']",
DFKccJJPeW_,2025-09-20 15:12:54 WIB,dougmiddlee_,"['tolong', 'pdam', 'bagian', 'surabaya', 'itu', 'diganti', 'kayak', 'di', 'sidoarjo', 'bening', 'seger', 'adem', 'surabaya', 'kok', 'keruh', 'apalagi', 'bagian', 'menganti', 'juga']",
DPLHwIlE0ry,2025-09-29 20:36:33 WIB,bekoolrock,['b <num>'],
DPLHwIlE0ry,2025-09-29 20:40:45 WIB,irfadwip,"['alhamdulilah', 'terimakasih', 'pak', 'atas', 'kerja', 'kerasnya', 'semoga', 'bisa', 'dibauat', 'pelajaran', 'agar', 'jauh', 'lebih', 'baik', 'lagi']",
DPLHwIlE0ry,2025-09-29 21:03:59 WIB,tegar_kuncoro_adhi,"['tangki', 'sementara', 'nak', 'beji', 'wes', 'tekoiki', 'banyu', 'jam', '<num>', 'wes', 'mlaku', 'salamne', 'nak', 'arek <num>', 'seng', 'benaknesuwon', 'seng', 'akeh']",
DPLHwIlE0ry,2025-09-29 21:07:47 WIB,albani.r.s,"['trimakasih', 'banyak', 'atas', 'kinerja', 'nya']",
DPLHwIlE0ry,2025-09-29 21:15:11 WIB,rrydwnt,"['alhamdulillah', 'semoga', 'kedepannya', 'aman', 'terus', 'kak', 'terima', 'kasih', 'kak']",
DPLHwIlE0ry,2025-09-29 21:38:16 WIB,dheaaapriyanti_,"['ini', 'apa', 'belum', 'nyala', 'yah', 'benowo', 'masih', 'mati']",
DPLHwIlE0ry,2025-09-29 21:51:39 WIB,bayuwahyu096,"['belum', 'keluar', 'airnya']",
DPLHwIlE0ry,2025-09-29 22:25:27 WIB,fitria2ningsih,"['kalijaran', 'masih', 'belum', 'nyala', 'min']",
DPLHwIlE0ry,2025-09-29 22:58:56 WIB,dheaaapriyanti_,"['belum', 'nyala', 'lo', 'sampai', 'skrng', 'dua', 'minggu', 'berturut', 'turut']",
DPLHwIlE0ry,2025-09-30 03:16:23 WIB,harijantoteguh,"['semangat', 'mas', 'bro']",
DPLHwIlE0ry,2025-09-30 07:51:58 WIB,nukemartha,"['pbi', 'airnya', 'keluar', 'tengah', 'malam', 'kapan', 'bisa', 'lancar', 'min', '?']",
DPLHwIlE0ry,2025-09-30 08:03:56 WIB,annisarosyidah_,"['min', 'masih', 'mati', 'aer', 'nyaaaaa']",
DPLHwIlE0ry,2025-09-30 11:43:07 WIB,thepurnamass,['wkwksouwiiu'],
DPLHwIlE0ry,2025-09-30 12:36:06 WIB,itsmevirgo_268,"['hallo', 'pak', 'di', 'pakal', 'veteran', 'kenapa', 'yaa', 'belum', 'nyala', 'air', 'nya', 'sampek', 'saat', 'ini']",
DPLHwIlE0ry,2025-09-30 14:29:03 WIB,bayuwahyu096,"['di', 'area', 'pakal', 'timur', 'min']",
DPLHwIlE0ry,2025-09-30 18:08:16 WIB,abdul_rahman_amank,['ok'],
DPLHwIlE0ry,2025-09-29 16:53:52 WIB,syzne_7,"['updatenya', 'gimana', '?', 'apakah', 'masih', 'fabrikasi', 'pipa', 'dan', 'pengelasan', '?']",
