post_id,comment_id,created_at,username,text,parent_comment_id
DQ51a5oEw2y,18075080645463218,2025-11-11 13:17:55 WIB,heframid,"['ulang', 'hari', 'surya', 'moga', 'sumber', 'informasi', 'percaya', 'inspiratif', 'masyarakat', 'kolaborasi', 'positif', 'pdam', 'minum', 'surya', 'sembada']",
DQ51a5oEw2y,18542961421052542,2025-11-11 20:49:17 WIB,kharistiano28,"['jalin', 'kerjasama', 'media', 'keren']",
DQ5v5UsE4As,18005382170826298,2025-11-11 11:13:37 WIB,mhmdrizkyy12._,"['semangat', 'indonesia']",
DQ5ldh8E_V7,18078071812910678,2025-11-11 09:48:57 WIB,panggilnaw,"['dm', 'tanggap']",
DQ6J9gWE8rk,17971535618800655,2025-11-11 16:04:18 WIB,baang_aziz,"['salam', 'tim', 'spi']",
DQ6J9gWE8rk,18100425706709855,2025-11-11 18:17:34 WIB,bellaaristas,"['surabaya', 'barat', 'daerah', 'ptc', 'mati', 'parah', 'mati']",
DQ6J9gWE8rk,18087708604756217,2025-11-11 20:17:03 WIB,mbembis92,['aziz'],
DQ6J9gWE8rk,17859220131479587,2025-11-12 06:47:24 WIB,bellaaristas,"['nyala', 'malam']",
DQ6J9gWE8rk,18012930854802546,2025-11-12 20:19:44 WIB,mbembis92,['sehat'],
DQ3lIqwk3zn,18084759106819810,2025-11-11 09:49:33 WIB,panggilnaw,"['dm', 'tanggap']",
DPiRgn6k9BI,17969564636959383,2025-10-29 23:44:51 WIB,n_aiiniiii,"['tidak_paham', 'harga', 'pasang', 'pdam']",
DPiRgn6k9BI,17861299593523751,2025-10-30 05:38:39 WIB,raymundus_aryo,['ramai'],
DPiRgn6k9BI,18099012427673731,2025-10-31 04:47:10 WIB,opera8176,"['pdam', 'jalan', 'gresik', 'mati']",
DPiRgn6k9BI,18079780751119659,2025-10-31 10:05:24 WIB,matokebenny,"['tugas', 'daerah', 'ploso', 'timur', 'kali', 'cek', 'preman', 'ketuk', 'pagar', 'ugal-ugalan', 'kayu', 'pentung', 'preman', 'pagar', 'tetangga']",
