username,text
heframid,"['selamat', 'ulang', 'tahun', 'ke36', 'harian', 'surya', 'semoga', 'terus', 'menjadi', 'sumber', 'informasi', 'terpercaya', 'dan', 'inspiratif', 'bagi', 'masyarakat', 'terima', 'kasih', 'juga', 'atas', 'kolaborasi', 'positif', 'bersama', 'perumda', 'air', 'minum', 'surya', 'sembada']"
kharistiano28,"['selalu', 'menjalin', 'kerjasama', 'yg', 'baik', 'dgn', 'media', 'keren']"
mhmdrizkyy12._,"['selamatt', 'dan', 'semangattt', 'indonesiaku']"
panggilnaw,"['dm', 'ku', 'ga', 'dibales', 'kak']"
baang_aziz,"['salam', 'buat', 'tim', 'spi', 'min']"
bellaaristas,"['ini', 'kenapa', 'lagi', 'surabaya', 'barat', 'daerah', 'ptc', 'airnya', 'tiba2', 'mati', 'parah', 'banget', 'udah', 'kecil', 'mati', 'pula']"
mbembis92,"['waalaikumussalam', 'bang', 'aziz']"
bellaaristas,"['udah', 'nyala', 'kemarin', 'jam', '9', 'mlm', 'an']"
mbembis92,"['sehat', 'selalu', 'min']"
panggilnaw,"['dm', 'ku', 'direspon', 'dong', 'kak']"
n_aiiniiii,"['maaf', 'nanya', 'agak', 'gak', 'paham', 'min', 'ini', 'harga', 'untuk', 'pemasangan', 'pdam', 'kan', 'min']"
raymundus_aryo,"['maw', 'rame', 'nih', 'kdm', 'min']"
opera8176,"['min', 'pdam', 'jalan', 'gresik', 'mati', 'gimana', 'ini']"
matokebenny,"['petugas', 'wilayah', 'ploso', 'timur', '3b', 'itu', 'tolong', 'di', 'sp', 'udah', 'beberapa', 'kali', 'cara', 'cek', 'airnya', 'itu', 'macam', 'preman', 'cara', 'ngetuk', 'pagar', 'ugal2anbawa', 'kayu', 'pentungan', 'macam', 'preman', 'naik', 'pagar', 'tetangga', 'depan', 'saya']"
matokebenny,"['udah', 'beberapa', 'kali', 'ngirim', 'komplain', 'langsung', 'harusnya', 'udah', 'dipecat', 'itu', 'petugas']"
opera8176,"['terimakasih', 'banyak', 'min']"
wien_reyki,"['min', 'pbi', 'pondok', 'benowo', 'indah', 'pdam', 'nya', 'gak', 'keluar', 'gmn', 'ini']"
wii1i,"['pbi', 'mati', 'lagi', 'baru', 'nyalah', 'lancar', 'ga', 'sampai', '10', 'hari', 'mati', 'lagi']"
ikacuby,"['min', 'griya', 'citra', 'asri', 'pdam', 'mengecil', 'dr', 'kemarin', 'pagi', 'sampai', 'skrg', 'kenapa', 'ya']"
rahul.bahrom,"['hallo', 'min', 'saya', 'coba', 'daftar', 'lewat', 'website', 'kok', 'internal', 'server', 'error', 'yaa', 'kalo', 'daftar', 'lewat', 'website', 'apakah', 'juga', 'dapet', 'promo', 'diskon']"
nelchia,"['selamat', 'sore', 'saya', 'mau', 'melaporkan', 'petugas', 'dilapangan', 'terutama', 'sopir', 'dg', 'nopol', 'difoto', 'tertera', 'kronologisnya', 'sekitar', 'jam', '1350', 'di', 'depan', 'rumah', 'saya', 'terdengar', 'suara', 'berisik', 'seperti', 'mobil', 'molen', 'beroperasi', 'pada', 'saat', 'saya', 'mau', 'menjemput', 'anak', 'ternyata', 'pas', 'didepan', 'pagar', 'saya', 'ada', 'pikup', 'milik', 'pdam', 'saya', 'sampai', 'berteriak', 'agar', 'dipindahkan', 'mobil', 'tsb', 'krn', 'suara', 'berisik', 'dr', 'mobil', 'tersebut', 'tapi', 'semua', 'pura2', 'tuli', 'tidak', 'mendengar', 'akhirnya', 'mobil', 'tersebut', 'dimajukan', 'agar', 'motor', 'saya', 'bisa', 'keluar', 'rumah', 'tp', 'pada', 'saat', 'saya', 'pulang', 'jemput', 'anak', 'mobil', 'tersebut', 'nangkring', 'lagi', 'pas', 'didepan', 'pagar', 'saya', 'blg', 'saya', 'keberatan', 'mobil', 'tsb', 'nangkring', 'depan', 'pagar', 'eh', 'bukannya', 'minta', 'maaf', 'mlh', 'mengejek', 'saya', 'ktnya', 'dia', 'ga', 'ganggutrs', 'bisa', 'motor', 'tsb', 'masuk', 'rumah', 'pdhl', 'jelas2', 'berada', 'dpn', 'pagar', 'saya', 'mmg', 'pada', 'akhirnya', 'dipindahkan', 'setelah', 'saya', 'menyatakan', 'keberatan', 'yg', 'jadi', 'pertanyaan', 'saya', 'mobil', 'tersebut', 'bisa', 'parkir', 'ditempat', 'lain', 'yg', 'tdk', 'mengganggu', 'pintu', 'saya', 'kenapa', 'memilih', 'pintu', 'pagar', 'saya', 'kedua', 'bukan', 'saya', 'yang', 'mau', 'pasang', 'pdam', 'kenapa', 'saya']"
nelchia,"['yang', 'dirugikan', 'saya', 'tdk', 'terima', 'dengan', 'attitudenya', 'sopir', 'tersebut']"
nelchia,"['nopol', 'l8287', 'baa', 'foto', 'sdh', 'saya', 'kirimkan']"
kakak_mondy_,"['min', 'estimasi', 'berapa', 'lama', 'proses', 'antri', 'pemasangan']"
bagus_1453,"['kalau', 'suratnya', 'di', 'bank', 'bisa', 'ka', 'min']"
nurulazizaahh15,"['ini', 'kenapa', 'saya', 'sering', 'bgt', 'kena', 'denda', 'ya', 'min', 'parahhh', 'bgt', 'sih', 'padahal', 'bayar', 'gapernah', 'diatas', 'tgl', '10', 'selalu', 'di', 'tgl', '15', 'loh', 'mana', 'dendanya', '50rb', 'ya', 'allah', 'saya', 'wa', 'juga', 'gaada', 'solusi', 'tolong', 'dibls']"
aslkhtl_anyah,"['itu', 'bneran', 'kah', 'min', 'pemasangan', 'baru', 'daya', 'listrik', '900w', 'byr', 'cuma', '300k']"
bagus_1453,"['foto', 'copynya', 'gak', 'ada', 'ganti', 'pbb', 'bisa', 'ta']"
kakak_mondy_,"['nomor', 'pendaftaran', 'pasang', 'baru', 'anda', 'b20250004332']"
aslkhtl_anyah,"['apa', 'ada', 'biaya', 'tambahan', 'lainnya', 'kak']"
budijuarangaji,"['rmh', 'sy', 'daerah', 'karahdidatangi', 'katanya', 'petugas', 'dr', 'pdam', '3hr', 'lalukatanya', 'ada', 'program', 'pembaruan', 'meteran', 'apakah', 'itu', 'memang', 'program', 'dr', 'pdam', 'kah', 'atau', 'penipuan']"
budijuarangaji,"['ok', 'trims']"
umilatifah402,"['mohon', 'info', 'apa', 'harga', 'air', 'pdam', 'ini', 'naik', 'atau', 'berpa', 'harga', 'perkubiknya']"
inces_runy,"['halo', 'min', 'bulan', 'ini', 'saya', 'bayar', 'pdam', 'tapi', 'kok', 'ada', 'dendatunggakan', 'pdhal', 'oktober', 'sudah', 'saya', 'bayar', 'lohh', 'tagihan', 'cuma', '21rb', 'dendanya', '28rb', 'denda', 'apa', 'iniudah', 'laporan', 'ke', 'watsap', 'surya', 'sembada', 'gak', 'diresponudah', 'kasih', 'bukti', 'bayar', 'oktober', 'november']"
